cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
63.73509_-145.90628,63.73509,-145.90628,1.2566416217159029,1.8717245066340702,0.6150828849181673,48.94656314807494
63.73555_-145.41225,63.73555,-145.41225,0.4693358679478259,0.6298792759410987,0.16054340799327282,34.20650731324881
63.73604_-148.28406,63.73604,-148.28406,0.5491565269267545,0.7460826621236727,0.19692613519691815,35.85974590868949
63.73645_-147.62924,63.73645,-147.62924,0.45657402050000584,0.6577129697491355,0.20113894924912967,44.053962822689144
63.73807_-146.48056,63.73807,-146.48056,0.7395230251762936,0.9340571128009422,0.19453408762464852,26.305345608174115
63.73853_-147.05490,63.73853,-147.0549,0.598075228045591,0.8030532591528122,0.20497803110722124,34.272951210009964
63.74021_-148.36473,63.74021,-148.36473,0.5330891409948977,0.7137279164172525,0.18063877542235485,33.88528512984356
63.74039_-144.99823,63.74039,-144.99823,1.2161717458707757,1.792074617850882,0.5759028719801063,47.35374538468342
63.74074_-145.98648,63.74074,-145.98648,1.3445512041450043,1.9578747510537273,0.613323546908723,45.61548455856194
63.74103_-147.70979,63.74103,-147.70979,0.5666753457190634,0.8045402391561509,0.2378648934370875,41.975514769441205
63.53337_-146.14180,63.53337,-146.1418,0.25163018575521606,0.45764925315778204,0.20601906740256598,81.87374928180508
63.53423_-148.58066,63.53423,-148.58066,0.37789369152025554,0.5454031473404359,0.1675094558201804,44.32713738784435
63.53425_-145.16153,63.53425,-145.16153,0.07235216882078391,0.2843864915976219,0.212034322776838,293.0586964186884
63.53476_-145.65167,63.53476,-145.65167,0.18547350424347175,0.4250590272161331,0.23958552297266134,129.17506678374747
63.53479_-147.28134,63.53479,-147.28134,0.026329440131901284,0.3301789636188308,0.3038495234869295,1154.0295652499624
63.53534_-146.71156,63.53534,-146.71156,0.0,0.10895505485169332,0.10895505485169332,inf
63.53615_-147.93102,63.53615,-147.93102,0.2923075963237484,0.5142401717215817,0.22193257539783323,75.92432704076202
63.53822_-148.66075,63.53822,-148.66075,0.36769186439620444,0.5292227798435295,0.16153091544732506,43.931055073132725
63.53830_-144.75075,63.5383,-144.75075,0.7166562820624787,0.9700995383317039,0.25344325626922526,35.36468773284679
63.53887_-146.22144,63.53887,-146.22144,0.0848016134189559,0.3446481020122487,0.25984648859329285,306.416916043261
63.31800_-147.91072,63.318,-147.91072,0.5693976521534295,0.7585123337259438,0.18911468157251432,33.2131122875715
63.31998_-144.75742,63.31998,-144.75742,0.49271159764477085,0.7654565117732512,0.2727449141284804,55.35589489515541
63.32019_-148.63428,63.32019,-148.63428,0.41358092941785773,0.5707905346901957,0.15720960527233796,38.011811979246914
63.32056_-146.21564,63.32056,-146.21564,0.383011078853157,0.5520504970967595,0.16903941824360247,44.13434168790994
63.32135_-147.34575,63.32135,-147.34575,0.5980801394737532,0.82363834162486,0.2255582021511069,37.713708793201874
