lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
63.70012,-145.42575,0.504481645,0.668754553,0.868754553
63.70035,-148.29355,0.615817738,0.834506072,1.034506072
63.2987,-145.41437,0,0.200496444,0.400496444
63.29967,-148.23752,0.532756951,0.69545123,0.89545123
63.2999,-147.59378,0.559363069,0.741014455,0.941014455
63.30063,-144.5217,0.340009292,0.506948851,0.706948851
63.3013,-146.46457,0.410998634,0.60295752,0.80295752
63.30185,-147.02919,0.44704538,0.633085944,0.833085944
63.30358,-145.00737,0,0.177363703,0.377363703
63.30387,-148.3168,0.490995754,0.643660684,0.843660684
63.3039,-145.97888,0.373520688,0.537312907,0.737312907
63.3045,-147.67297,0.579303996,0.781623374,0.981623374
63.73509,-145.90628,1.256641622,1.871724507,2.071724507
63.73555,-145.41225,0.469335868,0.629879276,0.829879276
63.73604,-148.28406,0.549156527,0.746082662,0.946082662
63.73645,-147.62924,0.456574021,0.65771297,0.85771297
63.73807,-146.48056,0.739523025,0.934057113,1.134057113
63.73853,-147.0549,0.598075228,0.803053259,1.003053259
63.74021,-148.36473,0.533089141,0.713727916,0.913727916
63.74039,-144.99823,1.216171746,1.792074618,1.992074618
63.74074,-145.98648,1.344551204,1.957874751,2.157874751
63.74103,-147.70979,0.566675346,0.804540239,1.004540239
63.53337,-146.1418,0.251630186,0.457649253,0.657649253
63.53423,-148.58066,0.377893692,0.545403147,0.745403147
63.53425,-145.16153,0.072352169,0.284386492,0.484386492
63.53476,-145.65167,0.185473504,0.425059027,0.625059027
63.53479,-147.28134,0.02632944,0.330178964,0.530178964
63.53534,-146.71156,0,0.108955055,0.308955055
63.53615,-147.93102,0.292307596,0.514240172,0.714240172
63.53822,-148.66075,0.367691864,0.52922278,0.72922278
63.5383,-144.75075,0.716656282,0.970099538,1.170099538
63.53887,-146.22144,0.084801613,0.344648102,0.544648102
63.318,-147.91072,0.569397652,0.758512334,0.958512334
63.31998,-144.75742,0.492711598,0.765456512,0.965456512
63.32019,-148.63428,0.413580929,0.570790535,0.770790535
63.32056,-146.21564,0.383011079,0.552050497,0.752050497
63.32135,-147.34575,0.598080139,0.823638342,1.023638342
63.32203,-145.24347,0,0.026678482,0.226678482
63.32221,-145.72957,0.67671299,0.950077446,1.150077446
63.32221,-146.78069,0.304499474,0.520076039,0.720076039
63.32241,-147.99002,0.571746925,0.76880212,0.96880212
63.32413,-148.7137,0.515071209,0.685896583,0.885896583
63.87885,-148.24585,0.34006416,0.50293825,0.70293825
63.87905,-147.58731,0.348578255,0.503691936,0.703691936
63.88028,-146.43214,0.773436499,0.99962951,1.19962951
63.88095,-147.00975,0.816453628,1.068994544,1.268994544
63.882,-144.94147,1.209540978,1.734742123,1.934742123
63.88277,-145.9353,1.194522457,1.664074556,1.864074556
63.88305,-148.32697,0.436310281,0.610888572,0.810888572
63.88333,-145.43839,1.391833531,2.069587004,2.269587004
63.88366,-147.66833,0.360479088,0.508848526,0.708848526
63.88533,-144.52496,1.033027784,1.512745994,1.712745994
62.73321,-145.62253,0.703737408,0.976585317,1.176585317
62.73392,-147.20251,0.684213744,0.930923066,1.130923066
62.73418,-146.65009,0.659275923,0.883210278,1.083210278
62.73436,-148.46228,0.535075915,0.731805194,0.931805194
62.73572,-147.8324,0.533361373,0.732463038,0.932463038
62.73663,-144.74905,0.828816634,1.14584208,1.34584208
62.7375,-146.1749,0.689852731,0.967008802,1.167008802
62.73841,-148.53992,0.600160832,0.833443163,1.033443163
62.73873,-145.2243,0.782294347,1.111784297,1.311784297
62.73875,-147.27994,0.535865012,0.710632072,0.910632072
63.77624,-145.97374,1.270449874,1.869056843,2.069056843
63.77668,-147.69948,0.398913796,0.556581739,0.756581739
63.77695,-145.47891,0.58516252,0.786242999,0.986242999
63.77894,-146.54895,0.652554681,0.835860827,1.035860827
63.77907,-147.12424,0.454369915,0.607149293,0.807149293
63.77928,-144.56935,1.521659178,2.281894634,2.481894634
63.78004,-148.43614,0.50197341,0.692718527,0.892718527
63.78122,-147.78018,0.409040913,0.554133321,0.754133321
63.78185,-146.05411,1.089778698,1.498193804,1.698193804
63.78201,-145.06422,1.184140003,1.684916031,1.884916031
63.0016,-146.32413,0.59965433,0.812370617,1.012370617
63.00209,-148.07672,0.470795785,0.639290504,0.839290504
63.00237,-144.88373,0.559111306,0.748599447,0.948599447
63.00278,-146.88223,0.533042448,0.745076608,0.945076608
63.00336,-148.79149,0.378247436,0.581148747,0.781148747
63.00367,-145.84402,0.614233904,0.843033641,1.043033641
63.00395,-145.36386,0.55087502,0.749766532,0.949766532
63.00619,-147.51862,0.629801296,0.855416959,1.055416959
63.00638,-148.15509,0.47550406,0.660595244,0.860595244
63.00698,-146.40216,0.598761538,0.814120518,1.014120518
63.02747,-147.27332,0.683641958,0.987568375,1.187568375
63.02755,-145.67545,0.483778601,0.689704086,0.889704086
63.02803,-146.71466,0.480254573,0.6528241,0.8528241
63.02892,-147.91032,0.546778043,0.736578919,0.936578919
63.03114,-148.62582,0.401398338,0.597634853,0.797634853
63.0313,-144.79207,0.567437431,0.756245221,0.956245221
63.03158,-146.23409,0.527961866,0.716614062,0.916614062
63.03228,-147.35162,0.695229019,1.004106321,1.204106321
63.03316,-146.79285,0.505708633,0.703161529,0.903161529
63.03324,-145.27272,0.547690825,0.747808575,0.947808575
62.77287,-146.1629,0.623065548,0.851374743,1.051374743
62.77396,-148.53111,0.67350162,0.93671949,1.13671949
62.774,-145.21103,0.735912568,1.043654858,1.243654858
62.77423,-147.26944,0.548998284,0.735417268,0.935417268
62.77434,-145.68697,0.648669357,0.883074805,1.083074805
62.77477,-146.71616,0.59498677,0.820186193,1.020186193
62.77568,-147.90027,0.741159098,1.070390697,1.270390697
62.77797,-148.60887,0.74374985,1.074128491,1.274128491
62.77822,-144.81213,0.729123997,1.011810478,1.211810478
62.77835,-146.24023,0.531928626,0.736903362,0.936903362
63.166,-144.65759,0.299353111,0.507134422,0.707134422
63.16672,-147.79228,0.40616482,0.599387182,0.799387182
63.16777,-146.10715,0.33759855,0.516673164,0.716673164
63.16843,-145.14075,0.434683697,0.626592548,0.826592548
63.16904,-145.62396,0.522725944,0.707470019,0.907470019
63.16956,-147.23061,0.355477372,0.549865361,0.749865361
63.16958,-148.5116,0.290306827,0.448778774,0.648778774
63.1699,-146.66885,0.46316805,0.644484577,0.844484577
63.1712,-147.87109,0.479981645,0.682837337,0.882837337
63.17242,-144.73575,0.234262288,0.459119887,0.659119887
63.20538,-146.65733,0.440609325,0.621145663,0.821145663
63.20678,-147.86124,0.512492082,0.712031745,0.912031745
63.2077,-144.72156,0,0.207404205,0.407404205
63.20874,-146.17346,0.290389212,0.456493178,0.656493178
63.20926,-148.58167,0.349734181,0.500453709,0.700453709
